0;0
0.0977517;0.083089
0.195503;0.171065
0.293255;0.259042
0.391007;0.347019
0.488759;0.434995
0.58651;0.522972
0.684262;0.610948
0.782014;0.698925
0.879765;0.786901
0.977517;0.874878
1.07527;0.962854
1.17302;1.05083
1.27077;1.13881
1.36852;1.22678
1.46628;1.31965
1.56403;1.40762
1.66178;1.4956
1.75953;1.58358
1.85728;1.67155
1.95503;1.75953
2.05279;1.84751
2.15054;1.94037
2.24829;2.02346
2.34604;2.11632
2.44379;2.2043
2.54154;2.29228
2.6393;2.37537
2.73705;2.46823
2.8348;2.55621
2.93255;2.64418
3.0303;2.73216
3.12805;2.82014
3.22581;2.90811
3.32356;2.99609
3.42131;3.08895
3.51906;3.17204
3.61681;3.26491
3.71457;3.35288
3.81232;3.44086
3.91007;3.52884
4.00782;3.61681
4.10557;3.70479
4.20332;3.79277
4.30108;3.88074
4.39883;3.96872
4.49658;4.0567
4.59433;4.14956
4.69208;4.23754
4.78983;4.32551
4.88759;4.41349
4.98534;4.50147
