# in0; in1; out0; out1; out2; out3; currentDrain
0;2;1.99902;1.98436;0;0;9.77517e-05
0.5;2;1.99902;1.55425;0.483871;0.498534;0.00296514
1;2;1.99413;0.180841;0.97263;0.997067;0.0120886
1.5;2;1.99413;0.127077;1.46628;1.50049;0.0124471
2;2;1.99413;0.112414;1.95992;2.00391;0.0125448
2.5;2;1.99413;0.107527;2.44868;2.50733;0.0125774
3;2;1.99413;0.102639;2.94233;3.00587;0.01261
3.5;2;1.99413;0.102639;3.43597;3.50929;0.01261
4;2;1.99413;0.0977517;3.92473;4.01271;0.0126426
4.5;2;1.99413;0.0977517;4.41349;4.51124;0.0126426
5;2;1.99413;0.0977517;4.90225;5;0.0126426
